Title,Description,Priority,Labels,Estimate
"GDPR tooling: data export, cascading deletion, retention jobs","No user/workspace data-export or cascading-delete endpoints exist; no retention schedule or automated purge. Required for DPA/due diligence and Meta deletion-callback obligations. Build export (machine-readable), workspace/user delete cascade, retention config + purge jobs.",High,"compliance,api",8
"Build invite acceptance flow","Onboarding references team invites and i18n strings exist (inviteEmail/inviteRole/inviteSuccess) but there is no /auth/invite/[token] route or token handling in signup - invited users cannot self-onboard. Build acceptance page + token validation + auto-filled signup.",High,"web,product",3
"Document backups/DR + run restore drill","No restore procedure, RTO/RPO, or Redis persistence notes (Supabase-managed DB). Write docs/BACKUP_RESTORE.md, define RTO/RPO, run and document one restore drill. Buyers ask for evidence restores were tested.",High,"infra,docs",2
"Write DEPLOYMENT.md, RUNBOOK.md, ARCHITECTURE.md","Deploy is Coolify-API-driven (deploy.yml) but undocumented in-repo; no rollback runbook; README claims Clean Architecture with no architecture doc. Three docs to kill the bus-factor objection in diligence.",High,"docs,infra",3
"Sync .env.example + fail-fast env validation at boot","~15 used env keys missing from apps/api/.env.example (ENCRYPTION_MASTER_KEY, STRIPE_*, ANTHROPIC/OPENAI keys, GOOGLE_ADS_*, SENTRY_DSN, HEALTH_CHECK_TOKEN...). Sync the example and call validateEncryptionEnv() (security/encryption.ts:442) during boot, exiting on missing required config.",High,"infra,api",1
"Start Meta Tech Provider verification + Google token tier/RMF gap analysis","Process work with longest lead time before write-path launch: Meta Business Verification + Tech Provider registration + App Review (ads_read/ads_management/business_management); confirm Google Ads developer token tier and run Required Minimum Functionality gap analysis (write access for external users triggers RMF). Also verify Meta API version >= v24 before 2026-06-09 deprecation cliff.",High,"compliance,integrations",5
"Fix i18n leaks: ContactForm + DataTable empty state","components/marketing/ContactForm.tsx (8+ hardcoded English strings incl. labels and errors) and components/ui/data-table.tsx:62 ('No data' empty state used on every list page) bypass next-intl across all 10 locales. Move to message catalogs + translate.",High,"i18n,web",2
"Accessibility pass: aria-labels, table sort controls, dialog focus","~15 aria-labels across the entire component tree; icon-only buttons (sidebar, mobile nav, settings) and DataTable sort buttons unlabeled. WCAG 2.1 AA risk for enterprise buyers. Auth forms are the good pattern to copy.",High,"a11y,web",3
"Scope Google webhook tenant resolution by platform","webhook-handler.ts matches campaign/adset on platform-native IDs without a platform predicate; same ad account linked in two workspaces can route events to the wrong tenant (KNOWN_LIMITATIONS #4).",High,"integrations,api",2
"Approval workflow + change log + kill switch, then enable draft execution","Core value prop is gated (v1_pilot_platform_execution_disabled). Platforms effectively require human-visible controls for automated changes: human approval step for AI drafts, immutable change log, dry-run mode, per-platform kill switch. Build that layer, then un-gate execution behind it.",Medium,"product,integrations",13
"Real TikTok integration (production review) + Snapchat OAuth app","TikTok: app registration, specific use-case narrative, sandbox->production review, business verification, data-security check; timestamped HMAC webhook verification. Snapchat: Business Manager OAuth app with snapchat-marketing-api scope; vault long-lived refresh tokens. Replaces ENABLE_MOCK_SOCIAL_SYNC mocks.",Medium,"integrations,product",13
"Persist recurring report schedules to Postgres","Schedules live only in Redis; a flush drops them (KNOWN_LIMITATIONS #6). Persist to scheduled_reports-style table, rehydrate worker on boot. Also resolves ReportParams.workspaceId typing skip.",Medium,"api,reports",3
"Client-side token refresh on 401","AuthProvider/authFetch read token from localStorage with no refresh-on-401; users are logged out abruptly mid-session. Add refresh-and-retry interceptor with backoff.",Medium,"web,auth",2
"Minimal feature-flag / kill-switch mechanism","No runtime gating exists (env flags are deploy-time only). DB-backed flags or Unleash for: sync, AI execution, billing, signup. Prerequisite for safe write-path rollout.",Medium,"infra,product",3
"BullMQ graceful drain + sync-job idempotency keys","Shutdown path (apps/api/src/index.ts:368) closes HTTP but workers are not drained on SIGTERM; sync jobs lack idempotency keys so redeploys can orphan/double-run work.",Medium,"api,workers",3
"Add Supabase RLS policies to core tables","No ENABLE ROW LEVEL SECURITY anywhere in migrations. Backend scopes all queries, but RLS is the defense-in-depth layer if anything ever hits Supabase directly (realtime, future clients).",Medium,"security,database",5
"Email verification at signup","Signup currently requires no email verification (KNOWN_LIMITATIONS #5). Product decision + SMTP flow.",Medium,"auth,product",2
"Publish OpenAPI spec + enforce coverage in CI","Spec is generated at runtime (/api/v2/openapi.json + Scalar UI) but never exported/published - export during build and upload artifact. Separately: coverage thresholds configured in vitest.config.ts are not enforced or reported in CI - add gate + upload.",Medium,"ci,docs",2
"Fix version skew + release automation","VERSION file says 1.0.0, package.json 2.0.0, packages/shared 1.0.0. Single-source the version and add changesets-based release flow.",Medium,"infra",1
"Escape user content in report-generator HTML","workers/report-generator.ts builds HTML via string concat without escaping campaign/ad names (email templates were fixed in PR #150; this path was missed). Reuse escapeHtml.",Medium,"security,api",1
"Explicit platform declaration for API-key scope checks","middleware/scopeCheck.ts:166 derives platform from request-supplied values; multi-platform endpoints can evade per-platform scopes. Routes should declare their platform requirement.",Medium,"security,api",2
"Paginate/virtualize unbounded lists (integrations, AI rules)","IntegrationsContent.tsx and AIAgentContent.tsx render full lists with no pagination/virtualization.",Medium,"web,performance",2
"DB pool metrics + readiness check for encryption key","Export pool utilization gauges (connection.ts:49) and add encryption-key validity to /ready (index.ts:190).",Low,"observability,api",1
"Paginate audit-log endpoint; gate admin mock-data to dev","routes/audit-log.ts list endpoint unpaginated; routes/admin.ts:100 returns mock-data fallbacks not gated to development.",Low,"api",1
"Delete stale TODOs pointing at implemented code","DLQ TODO in email-worker.ts:246 (DLQ exists in all 3 workers) and dead decryptStoredToken with KMS TODO (meta/client.ts:2247). Stale TODOs spook diligence reviewers.",Low,"hygiene",1
"Integration test: refresh tokens rejected after password reset","Revocation is implemented (transactional revokeAllRefreshTokensForUser + Supabase global signOut) but untested end-to-end. Add test asserting old refresh token fails post-reset.",Low,"testing,auth",1
"Locale-aware og:locale + timezone-aware date formatting","openGraph.locale hardcoded en_US in app/layout.tsx:34; formatDate (lib/utils.ts) ignores user timezone. Set og:locale from route param; add user timezone preference.",Low,"web,i18n",1
"Unify API error envelope (upload routes vs global middleware)","Upload router uses {success,message,error}; global middleware uses {success,error:{code,message}}. Breaking change - coordinate with client; deferred from PR #150 review.",Low,"api,hygiene",2
"Nonce-based CSP for styles","style-src still allows unsafe-inline; move to nonce-based CSP. Deferred from PR #150 scope.",Low,"security,web",2
"Python MCP server: pytest suite + CI job + lock file","apps/mcp has 30+ tools, zero tests, no CI job, no lock file. Write pytest suite with mocked API, add CI job, pin via lock.",Low,"testing,mcp",3
"Compliance artifact pack: DPA, subprocessor list, IR policy, status page","Pre-SOC2 table stakes buyers request: Art.28 DPA template, public subprocessor page + change notifications, written incident-response policy, access-review cadence doc, public status page with uptime history. Mostly business-side authoring.",Medium,"compliance,docs",5
"License scan + SBOM in CI; verify contributor IP assignments","Run license-checker/SCA in CI, produce SBOM, confirm no GPL/AGPL in proprietary code. Business side: collect signed IP assignments from all past contributors/contractors - the #1 deal-killer in DD.",High,"compliance,ci",2
